Story Index,Grammar,Creativity,Consistency,Plot
166,4,2,1,1
167,3,3,2,2
168,6.0,3.0,2.0,2.0
169,4,5,6,5
170,3.0,4.0,3.0,3.0
171,5,4,3,4
172,2,4,3,3
173,1,1,1,1
174,4,3,2,3
175,4,5,4,6
176,2,4,3,2
177,4.0,3.0,2.0,2.0
178,2,3,2,1
179,2,4,3,2
180,4,4,3,3
181,2,2,3,2
182,1,2,1,1
183,2,4,3,3
184,6.0,4.0,3.0,2.0
185,1,2,1,1
186,6,3,2,2
187,3,3,2,2
188,3,4,4,3
189,4,4,3,2
190,8,6,10,8
191,4,4,5,3
192,4.0,3.0,2.0,2.0
193,2,4,3,3
194,2,3,2,2
195,3,4,3,2
196,2,3,2,1
197,3,4,2,3
198,6.0,3.0,4.0,3.0
199,6.0,7.0,5.0,7.0
200,5.0,5.0,4.0,4.0
201,2,4,3,3
202,7,4,6,5
203,2,3,2,2
204,6.0,3.0,2.0,3.0
205,3,2,3,2
206,2,2,1,2
207,3,4,2,2
208,2,3,4,3
209,3,7,6,5
210,4,2,3,2
211,4,3,2,3
212,4,2,3,3
213,4,2,3,3
214,2,4,3,3
215,2,3,2,2
216,2,3,2,2
217,8,6,7,5
218,4,4,3,2
219,5,3,4,3
220,5,4,3,3
221,3,3,2,2
222,4.0,5.5,7.5,4.5
223,2.0,4.0,3.0,3.0
224,4,4,3,3
225,6,4,5,5
226,2,5,3,3
227,4.0,6.0,7.0,5.0
228,5,4,1,1
229,4,3,2,2
230,2,3,2,2
231,6.0,5.0,3.0,2.0
232,4,3,2,2
233,3,2,3,2
234,4,3,2,2
235,6,5,4,3
236,5,4,3,2
237,6,3,4,4
238,1,3,4,2
239,3,2,1,1
240,2,4,3,3
241,4,2,1,2
242,4,4,3,2
243,4.0,4.0,3.0,2.0
244,7,5,6,5
245,4,4,3,3
246,5,4,6,5
247,3,5,3,2
248,3,3,2,2
249,5.0,2.0,1.0,1.0
250,6,4,3,4
251,4,3,2,1
252,3,3,2,2
253,2,2,1,1
254,3,4,2,2
255,4,5,4,3
256,4,3,2,2
257,1,4,3,2
258,3,4,3,3
259,2,2,3,3
260,7,3,3,4
261,2,3,2,1
262,2,4,3,2
263,6,5,6,5
264,7,3,2,6
265,4,4,3,2
266,5.0,4.0,2.0,3.0
267,6,2,3,2
268,5,5,4,3
269,5,2,3,2
270,3,3,4,2
271,6.0,4.0,3.0,4.0
272,2,3,4,4
273,4,4,3,2
274,4,2,3,3
275,3,2,3,2
276,3,2,2,1
277,3,4,3,3
278,2,4,4,3
279,1,3,2,1
280,6,2,2,3
281,3,4,4,3
282,5,4,3,3
283,5,3,2,2
284,7.0,5.0,6.0,5.0
285,8,6,1,2
286,2,4,3,3
287,4,3,2,2
288,4,4,3,2
289,6,5,4,2
290,4,3,2,2
291,2,4,3,3
292,4,3,2,2
293,2,4,2,1
294,2,3,2,2
295,4,2,1,1
296,1,2,1,1
297,2,3,2,2
298,4.0,2.0,1.0,2.0
299,3.0,1.0,1.0,1.0
300,2,3,2,1
301,4,4,3,3
302,4,3,5,3
303,4,3,2,2
304,2,3,2,2
305,4,4,3,3
306,3,5,6,4
307,2,3,2,2
308,5,4,3,3
309,4,4,3,3
310,5,5,4,3
311,2,4,3,3
312,3,3,2,2
313,6,3,4,3
314,5,3,4,3
315,4.0,3.0,2.0,2.0
316,3,3,2,1
317,5,4,4,3
318,2,3,2,1
319,3,3,2,1
320,3,3,2,2
321,4,3,2,2
322,3,4,2,2
323,3,3,2,2
324,5,3,4,4
325,3,5,3,3
326,2,4,3,2
327,4,4,3,3
328,3,4,3,2
329,1,4,2,1
330,4,3,2,2
331,5,5,3,3
332,4,5,6,5
333,2,4,3,2
334,3,3,2,1
335,4,3,2,2
336,3,4,3,3
337,3,2,2,2
338,5,2,1,1
339,1,3,1,1
340,3,3,4,2
341,5,3,5,4
342,3,4,3,3
343,1.0,3.0,2.0,1.0
344,2,4,3,2
345,3,2,1,1
346,5.0,4.0,3.0,4.0
347,2,3,1,1
348,4,4,3,2
349,1,1,1,1
350,3,4,3,2
351,6,5,4,3
352,3,4,2,2
353,4,4,3,3
354,3,5,4,2
355,4,3,2,2
356,5,6,4,3
357,2,4,3,3
358,1,2,3,1
359,2,2,3,2
360,1,2,3,1
361,2,4,3,3
362,4,6,3,2
363,6,3,4,2
364,4,4,3,3
365,2,3,2,2
366,5,5,4,3
367,2,4,2,1
368,2,4,2,2
369,6,3,4,4
370,3.0,5.0,4.0,4.0
371,4.0,3.0,2.0,1.0
372,2,4,3,3
373,4,4,3,3
374,2,4,3,3
375,2,3,2,1
376,5,3,2,2
377,4,3,2,2
378,4.0,2.0,3.0,2.0
379,3.0,3.0,3.0,3.0
380,4,5,3,3
381,3,4,2,2
382,4.0,3.0,2.0,2.0
383,7,2,1,2
384,2,3,2,1
385,3,3,2,2
386,2,4,3,3
387,4,3,2,2
388,3,4,3,2
389,5,3,4,3
390,6,6,7,7
391,4,4,2,2
392,4,4,6,5
393,6,5,4,3
394,7,4,3,2
395,4,4,5,3
396,5,3,2,2
397,1,1,1,1
398,4,3,2,2
399,3,2,1,1
400,4,5,3,3
401,3,3,2,2
402,4,3,2,1
403,2,4,2,2
404,4,2,2,2
405,6,3,3,4
406,2,4,1,1
407,5,4,3,4
408,3,3,2,2
409,2,4,2,1
410,3.0,2.0,3.0,2.0
411,5,4,6,3
412,5,3,4,3
413,4.0,5.0,3.0,3.0
414,4,5,6,5
415,5,4,6,5
416,8,6,7,5
417,3,4,2,2
418,3,3,3,2
419,3,4,3,3
420,3,3,4,4
421,8,5,7,6
422,3,4,2,2
423,2,4,3,2
424,2,3,2,1
425,3,4,3,2
426,2,3,2,1
427,6,4,3,4
428,6,4,3,4
429,2,3,3,2
430,4,4,3,3
431,2,2,3,1
432,4,2,1,1
433,2,3,2,1
434,3,4,2,2
435,5,4,3,3
436,5,4,3,3
437,4,4,3,3
438,2,1,1,1
439,6.0,7.0,4.0,3.0
440,3,2,2,2
441,4.0,3.0,2.0,1.0
442,5,4,4,3
443,6,3,1,2
444,7,4,3,3
445,1.0,1.0,1.0,1.0
446,2,4,2,2
447,8,6,3,4
448,8,3,2,2
449,5,6,5,4
450,5,3,4,4
451,3,4,2,2
452,3,3,2,2
453,2,3,2,2
454,3,4,2,2
455,3,5,4,4
456,2,4,2,1
457,5,4,2,3
458,3,5,3,2
459,3.0,4.0,2.0,2.0
460,5,6,4,3
461,2,3,2,1
462,1,3,2,2
463,1.0,2.0,1.0,1.0
464,4,5,3,3
465,2,4,3,3
466,2,3,2,2
467,4,4,2,3
468,3,3,4,4
469,3,4,3,3
470,4,5,3,2
471,4,4,3,3
472,3.0,2.0,2.0,2.0
473,2,5,3,1
474,2,4,2,1
475,5,3,2,3
476,4.0,2.0,1.0,1.0
477,4,5,2,1
478,4,2,3,3
479,2.0,3.0,2.0,1.0
480,7,6,7,5
481,6,3,2,2
482,2.0,2.0,2.0,2.0
483,2,3,3,2
484,2,4,2,2
485,5,3,2,3
486,3,4,2,3
487,2,4,3,1
488,4,3,2,1
489,2,3,3,2
490,7,4,6,5
491,3,3,2,2
492,6,3,2,2
493,3.0,4.0,2.0,1.0
494,2,2,3,1
495,2,3,1,1
496,2,3,2,2
497,8,2,1,2
498,4,3,2,2
499,4,3,2,2
500,5,3,2,2
501,2,3,4,3
502,3,4,3,2
503,7,3,2,2
504,5,5,4,4
505,4,2,3,2
506,2,4,4,3
507,7,5,8,6
508,5,4,2,2
509,3,3,2,1
510,2,4,3,3
511,4,3,3,4
512,5,3,4,4
513,4,4,3,3
514,4,3,4,3
515,3,3,4,3
516,3,5,4,2
517,5,4,3,2
518,5.0,5.0,3.0,4.0
519,1,1,1,1
520,4.0,4.0,4.0,3.0
521,4,4,2,3
522,2,4,3,3
523,3.0,3.0,4.5,2.5
524,3,4,3,2
525,4,4,3,3
526,6,5,7,4
527,4.0,5.0,6.0,3.0
528,2,3,2,1
529,2,4,3,2
530,5,3,6,4
531,2,3,2,1
532,1.0,2.0,1.0,1.0
533,1,3,2,1
534,4.0,2.0,1.0,2.0
535,3,4,5,4
536,3,3,4,2
537,5,5,8,5
538,4,2,2,2
539,2.5,4.5,3.5,3.0
540,2,6,4,3
541,4,6,7,5
542,1,1,1,1
543,3,2,3,2
544,2,3,2,2
545,3,5,4,4
546,3,2,1,1
547,4,4,3,2
548,2,3,4,2
549,3,4,2,2
550,3,4,3,3
551,3,4,3,2
552,2,3,2,1
553,7,4,6,4
554,2,4,3,2
555,2,4,3,2
556,2,5,3,3
557,2,3,2,2
558,3.0,2.0,1.0,2.0
559,5,5,3,3
560,3,4,3,2
561,3,3,4,2
562,5,4,3,2
563,3,4,3,2
564,2,3,2,1
565,7.0,3.0,1.0,1.0
566,2,3,2,2
567,4,4,3,2
568,3,5,4,4
569,3,2,1,2
570,5,4,3,3
571,3,4,2,2
572,5,4,3,3
573,4,4,2,2
574,8.0,2.0,1.0,2.0
575,2,3,3,2
576,4.0,3.0,2.0,3.0
577,3,4,2,2
578,3.0,3.0,4.0,3.0
579,4.0,3.0,2.0,2.0
580,2,4,3,1
581,1,3,2,1
582,2.0,3.0,2.0,2.0
583,7,5,8,6
584,4,3,2,1
585,5,3,4,3
586,1,3,2,1
587,5.0,6.0,4.0,4.0
588,4,3,5,4
589,6,5,4,3
590,6,4,3,3
591,4,2,3,2
592,4,4,3,2
593,4,6,4,3
594,2,4,3,3
595,8,6,7,7
596,4,4,3,3
597,4,4,5,3
598,3,1,1,1
599,4,3,2,2
600,4,3,2,2
601,2,4,2,3
602,5,3,2,2
603,3,2,1,1
604,4,4,2,3
605,2,4,3,2
606,2.0,2.0,3.0,1.0
607,1,3,2,1
608,3,2,2,2
609,1,4,3,2
610,2,4,3,3
611,5,3,4,3
612,6,5,6,6
613,1,4,2,1
614,3,3,2,2
615,4,4,3,3
616,1,3,2,1
617,3,4,2,2
618,5,3,2,2
619,7,4,3,3
620,4,3,4,2
621,3,3,1,1
622,3,4,2,2
623,4,6,4,5
624,2,4,3,3
625,3,4,3,3
626,4,3,2,2
627,4,3,3,2
628,6,5,4,5
629,3,3,5,2
630,2,3,2,2
631,4,5,4,3
632,1,4,3,1
633,1,3,1,1
634,5,4,6,5
635,3,3,2,2
636,2,4,3,2
637,5,4,3,3
638,2,4,3,3
639,4,4,2,2
640,1,2,1,1
641,2,4,3,2
642,7.0,5.0,4.0,3.0
643,4,4,4,3
644,3,2,1,2
645,2,4,2,1
646,2.0,3.5,2.5,2.0
647,1.0,2.0,1.0,1.0
648,5,4,3,2
649,4,4,3,2
650,2.0,3.0,2.0,2.0
651,2,3,2,1
652,2,3,4,3
653,4,3,4,3
654,3,3,2,2
655,3,3,2,2
656,6,4,3,2
657,3,4,2,1
658,4,4,3,3
659,9,7,8,8
660,4,3,4,2
661,2,3,2,1
662,4,3,2,2
663,4.0,4.0,3.0,3.0
664,1,3,2,1
665,1,2,1,1
666,2.0,4.0,3.0,2.0
667,3,4,4,3
668,3,3,2,1
669,2,3,2,1
670,2,3,2,1
671,5,2,3,3
672,2,3,2,1
673,4,4,3,2
674,4,4,2,3
675,5,4,3,3
676,2,4,3,2
677,2,3,2,1
678,4,5,4,3
679,5,3,4,3
680,2,4,3,3
681,2,3,1,1
682,5,4,3,3
683,3,2,1,1
684,5,3,2,2
685,2,4,2,1
686,2,4,3,2
687,4,4,3,3
688,4.0,3.0,2.0,2.0
689,4,3,5,4
690,1,3,2,1
691,4,5,6,3
692,2,3,4,3
693,2,4,3,2
694,5,4,5,4
695,2,4,3,1
696,4,3,2,2
697,5,3,2,3
698,3.0,4.0,3.0,2.0
699,2,3,2,1
700,3.0,4.0,4.0,3.0
701,5,4,3,3
702,1,4,2,1
703,2,4,3,2
704,4.0,4.0,3.0,3.0
705,4,4,3,2
706,4,4,3,3
707,2,4,2,2
708,1,3,1,1
709,4,3,4,3
710,1,2,1,1
711,2,3,3,2
712,4,2,1,1
713,4,2,3,3
714,2,4,3,3
715,3,4,3,2
716,3,3,2,2
717,2.0,4.0,3.0,2.0
718,3,3,2,2
719,2,3,2,2
720,2,5,2,2
721,2,2,3,2
722,2,3,1,1
723,5,5,3,3
724,1,3,4,2
725,4,3,2,3
726,6,4,2,4
727,3,2,3,2
728,5,3,2,1
729,6,3,2,2
730,3,3,3,2
731,7,4,3,2
732,3,4,2,1
733,4,5,6,5
734,1,3,2,1
735,4,3,4,3
736,3.0,3.0,2.0,2.0
737,3,3,4,3
738,3,5,4,4
739,4,5,3,3
740,4,4,3,2
741,4,4,3,3
742,4.0,4.0,4.0,3.0
743,2,3,1,1
744,5,5,6,4
745,4,3,2,2
746,2,3,2,1
747,3,5,2,2
748,3,4,2,2
749,4,3,2,2
750,4,4,3,3
751,3,4,6,4
752,3,4,3,2
753,9,6,10,5
754,6,4,7,5
755,6,4,3,4
756,3.0,4.0,2.0,3.0
757,3,3,2,2
758,4,4,3,3
759,4,2,3,2
760,2,5,3,1
761,2,3,2,1
762,1,2,1,1
763,1,3,1,1
764,3,4,2,1
765,4,3,4,3
766,6,5,4,4
767,3,4,2,1
768,5,3,2,3
769,4.0,3.0,2.0,3.0
770,2.0,3.0,2.0,2.0
771,5,3,2,2
772,3,4,3,2
773,2,3,2,1
774,4,3,2,3
775,2,4,3,2
776,2,3,2,2
777,5.0,5.5,6.0,6.5
778,2,3,2,1
779,4,3,2,2
780,4,3,2,2
781,3,4,3,3
782,4,3,4,3
783,3,5,4,4
784,1,3,2,1
785,3,3,2,3
786,2,3,2,2
787,3,3,2,1
788,6,3,4,3
789,1,3,1,1
790,5,4,2,3
791,1,4,3,2
792,2.0,2.0,3.0,1.0
793,7,2,3,2
794,3,4,5,3
795,5,5,6,4
796,1,3,1,1
797,4.0,2.0,1.0,1.0
798,3,2,1,1
799,3,3,2,1
800,3,2,1,1
801,4,3,2,3
802,1,5,2,1
803,2,3,1,2
804,3,4,4,3
805,4,5,6,5
806,2,3,2,1
807,2,3,2,1
808,3.0,4.0,3.0,2.0
809,2,4,3,3
810,3,2,3,2
811,4.0,3.0,2.0,1.0
812,2,3,2,1
813,3,2,1,1
814,7,6,3,4
815,3,4,3,2
816,6,3,4,4
817,4.0,4.0,2.0,1.0
818,3.0,3.0,2.0,2.0
819,6,3,4,3
820,5,4,3,2
821,2,2,1,1
822,5,4,3,4
823,4,2,3,3
824,3,4,3,2
825,3,4,3,2
826,5,2,3,4
827,6,4,3,2
828,4.0,5.0,3.0,2.0
829,2,4,3,2
830,2,1,1,1
831,2,4,3,2
832,2,3,2,2
833,4,4,3,3
834,2,4,3,1
835,2,4,3,2
836,3,3,2,2
837,3,4,3,2
838,4,7,5,4
839,4,3,3,2
840,3,3,4,3
841,1.0,1.0,1.0,1.0
842,2,2,1,1
843,4,4,2,2
844,4,4,3,3
845,4,3,2,1
846,7,4,3,5
847,6,3,4,3
848,3,4,3,2
849,3,4,2,2
850,3,4,2,2
851,2,3,2,1
852,3,4,2,2
853,7,4,5,4
854,4,4,3,3
855,3,3,2,2
856,5.0,4.0,3.0,3.0
857,2,3,2,1
858,3,2,3,2
859,4,3,2,2
860,3,4,2,2
861,4,2,3,2
862,2,4,2,1
863,3,4,3,2
864,3,4,2,1
865,1,3,1,1
866,4,3,2,2
867,4,5,6,5
868,1,4,2,1
869,2,5,4,3
870,4,4,3,3
871,2,3,2,1
872,2.0,4.0,3.0,2.0
873,4,3,2,2
874,2,4,3,3
875,4,4,3,3
876,4,3,3,2
877,3,4,4,3
878,3,4,2,2
879,1.0,4.0,2.0,1.0
880,2,3,2,2
881,2,6,4,3
882,2.0,3.0,2.0,2.0
883,1,1,1,1
884,1,4,3,2
885,2,4,2,1
886,2,2,1,1
887,1,2,1,1
888,5,4,3,3
889,3,3,2,2
890,1,4,2,1
891,4,3,2,2
892,4,4,3,2
893,2,3,2,2
894,4,2,3,2
895,4,4,3,2
896,5.0,4.0,3.0,2.0
897,3.0,4.0,3.0,2.0
898,4,2,2,2
899,6,3,2,2
900,2,4,2,1
901,5,4,2,3
902,5,4,3,3
903,4,6,4,3
904,1,4,3,2
905,5,5,6,4
906,2,3,2,1
907,1,3,2,1
908,4,5,3,3
909,6,3,3,2
910,6,6,5,5
911,4.0,3.0,2.0,2.0
912,4,3,4,3
913,1,3,2,1
914,3,1,1,1
915,2,4,3,3
916,2,3,4,1
917,4,4,3,3
918,3,2,1,2
919,4,3,2,3
920,4,2,1,1
921,3,5,4,4
922,4,5,3,2
923,4,2,3,3
924,5,4,2,3
925,4,3,2,2
926,1,3,2,1
927,3,4,4,3
928,6,5,4,3
929,1,4,3,2
930,7,3,2,2
931,3,3,2,1
932,2,3,2,1
933,6,4,3,3
934,4,2,1,1
935,3,3,2,2
936,2,5,3,3
937,4,3,4,3
938,2.0,4.0,3.0,1.0
939,4,4,2,1
940,1,3,2,1
941,5,2,3,2
942,4,2,1,1
943,2,3,2,1
944,5,5,6,4
945,3,4,3,2
946,1,2,1,1
947,3,2,2,1
948,4,3,4,3
949,3,3,2,2
950,4,3,2,3
951,6,4,2,2
952,6,4,3,4
953,4,3,2,2
954,1,2,3,1
955,7,3,2,2
956,4,3,4,2
957,5,4,3,3
958,2,4,3,2
959,1,2,1,1
960,4,3,4,3
961,1,3,1,1
962,4,3,2,2
963,3,3,2,2
964,4,5,3,3
965,3,5,3,2
966,4,3,2,2
967,4,3,2,2
968,4,4,6,5
969,3,1,1,1
970,4,6,5,3
971,3,4,3,2
972,3,3,2,2
973,3.0,2.0,3.0,2.0
974,5,4,3,3
975,2,2,1,1
976,2,4,3,3
977,4,4,3,2
978,2,3,4,3
979,5,3,4,3
980,5,3,2,2
981,3,3,2,2
982,2,3,2,2
983,2,3,2,2
984,4,4,3,3
985,1,2,2,1
986,1,3,1,1
987,7,3,4,3
988,2,4,3,2
989,2,4,3,2
990,2.0,4.0,2.0,1.0
991,6,4,5,5
992,4,2,1,1
993,5,4,5,3
994,4,3,2,2
995,3,4,3,2
996,4,3,2,2
997,4,3,2,2
998,5,3,2,2
999,5,4,2,3
1000,5,5,6,4
1001,2,3,2,2
1002,6,4,2,3
1003,4,3,3,3
1004,4,3,2,2
1005,1,2,3,1
1006,1,4,2,1
1007,3,4,5,4
1008,6,3,4,4
1009,6,4,2,3
1010,5,6,3,4
1011,4,5,4,3
1012,5,3,4,3
1013,2,3,4,3
1014,4,3,2,2
1015,4,4,3,2
1016,3,4,3,2
1017,2,3,1,1
1018,3.0,6.0,4.0,3.0
1019,4.0,4.0,3.0,2.0
1020,6,5,7,5
1021,2,4,2,1
1022,5,3,2,2
1023,3,3,2,2
