Story Index,Grammar,Creativity,Consistency,Plot
132,3,4,2,2
133,3,3,2,2
134,1,2,1,1
135,7,5,4,4
136,4,5,3,3
137,3,5,4,3
138,1,2,1,1
139,1,1,1,1
140,5,5,6,6
141,4,3,4,3
142,5,4,2,3
143,4,4,2,3
144,3,4,2,2
145,2,3,2,1
146,4,5,4,3
147,2,4,2,2
148,4,2,1,1
149,6.0,5.0,3.0,3.0
150,2,4,3,1
151,4,3,2,2
152,2,3,2,2
153,4,4,4,3
154,6,3,2,2
155,4,2,3,3
156,6,3,2,2
157,2,3,2,2
158,8.0,4.0,2.0,3.0
159,3,4,2,2
160,3,2,2,1
161,1,4,3,2
162,2,4,3,2
163,4,3,4,3
164,2,3,2,1
165,6,4,5,4
166,2,4,3,2
167,2.0,2.0,1.0,1.0
168,5,6,2,3
169,2,3,3,2
170,4,4,4,4
171,2,4,3,1
172,3,2,3,2
173,3,3,2,1
174,2,2,1,1
175,2,3,2,2
176,3,2,1,1
177,5,4,3,3
178,3,5,4,3
179,2,4,2,3
180,1,3,2,1
181,4.0,4.0,3.0,2.0
182,3,4,3,4
183,2,4,3,2
184,2,3,2,1
185,3,5,4,4
186,4,3,2,1
187,3,4,3,3
188,2,4,3,2
189,1,1,1,1
190,2,3,2,1
191,4,4,5,3
192,3,2,3,2
193,2,3,2,2
194,2.0,4.0,3.0,3.0
195,2,5,3,2
196,2,3,2,1
197,4,3,2,2
198,4,2,1,1
199,2,4,3,2
200,3,5,4,4
201,3,3,2,2
202,1,3,2,1
203,3,5,2,2
204,6,4,2,3
205,3,3,2,2
206,3,3,2,2
207,4.0,4.0,2.0,2.0
208,5,2,3,3
209,2,3,2,2
210,2,3,2,1
211,5,6,4,4
212,1,2,1,1
213,2,4,3,3
214,1,2,1,1
215,1,2,3,2
216,5,5,4,4
217,2.0,2.0,3.0,1.0
218,5,5,4,3
219,2,3,2,2
220,3,4,2,2
221,1,3,2,1
222,4,2,3,2
223,3.0,4.0,2.0,2.0
224,3,3,2,1
225,2,3,1,1
226,2,4,3,2
227,6,4,3,2
228,5,6,4,3
229,2,4,3,2
230,2,3,2,1
231,3,4,4,3
232,1.0,2.0,2.0,1.0
233,3,4,3,2
234,4.0,4.0,3.0,3.0
235,5,3,2,2
236,4,3,2,2
237,2,4,3,3
238,4,6,5,3
239,2,3,2,2
240,2,2,1,1
241,2,3,4,3
242,4.0,5.0,5.0,4.0
243,4,5,3,2
244,3,5,4,3
245,2,4,2,1
246,3,3,2,2
247,2,4,3,2
248,6,5,4,3
249,1,2,1,1
250,4,3,2,3
251,5,4,3,2
252,4,4,3,3
253,4.0,3.0,2.0,2.0
254,3,3,4,2
255,3,4,2,3
256,6,4,2,2
257,2,4,3,2
258,3,4,5,4
259,3,4,6,3
260,4,3,2,2
261,1,2,1,1
262,4,3,4,4
263,6,2,1,1
264,2,4,3,2
265,3,2,3,2
266,1.0,3.0,2.0,1.0
267,5,2,1,1
268,6,3,4,4
269,3,5,3,2
270,2.0,2.0,2.5,1.5
271,4,4,3,3
272,3,3,2,2
273,5,3,2,2
274,4,3,2,2
275,3.0,2.0,1.0,1.0
276,7,4,3,3
277,2,4,3,3
278,3,4,3,2
279,2,2,1,1
280,3,4,2,1
281,3,3,2,1
282,3,2,2,2
283,3,3,2,2
284,4,3,2,2
285,2,3,2,1
286,6,5,7,6
287,1,4,2,1
288,3,4,2,1
289,6,3,4,4
290,3,3,2,2
291,3,3,2,2
292,5,3,2,3
293,3,3,4,2
294,4,3,2,2
295,4.0,3.0,2.0,2.0
296,5,6,7,5
297,7,6,5,5
298,4,4,3,3
299,3,4,3,3
300,3,4,2,2
301,3,4,3,2
302,3,5,4,3
303,7,3,2,3
304,4,4,3,4
305,6,2,3,4
306,2,3,2,1
307,2,2,3,2
308,2,1,2,1
309,3.0,3.0,2.0,2.0
310,2,3,2,1
311,4,3,2,2
312,4,4,3,3
313,2,4,3,2
314,2.0,2.0,1.0,1.0
315,2,4,3,3
316,4,2,3,2
317,4,3,2,3
318,2,4,3,2
319,4.0,3.0,4.0,3.0
320,3,4,4,3
321,3,3,2,1
322,2,4,3,3
323,2,3,3,1
324,6,6,7,5
325,6,5,4,4
326,2,2,3,1
327,2,5,3,2
328,2,3,2,1
329,6,5,3,4
330,4,4,3,3
331,4,4,3,2
332,3,4,3,2
333,2,4,3,1
334,5,4,3,2
335,5,4,3,2
336,2.0,5.0,3.0,3.0
337,3,3,2,2
338,7.0,3.0,2.0,3.0
339,2,3,2,1
340,3,2,3,2
341,4,2,3,2
342,2,3,2,2
343,5,4,3,4
344,4,4,3,3
345,2,4,2,2
346,3,2,2,2
347,3,2,1,2
348,3,3,5,2
349,3,4,2,2
350,6,5,7,5
351,2,5,3,3
352,4,4,3,3
353,4,6,3,3
354,4,4,3,3
355,2,4,3,2
356,4,6,7,5
357,2.0,5.0,3.5,3.0
358,4,4,3,3
359,4,5,3,2
360,2,4,3,3
361,4,2,3,2
362,2,5,3,2
363,2,3,2,2
364,3,5,4,3
365,2,3,2,1
366,2,3,1,1
367,1,4,3,1
368,2,3,2,1
369,3,4,3,2
370,1,2,1,1
371,4,3,1,1
372,3.0,3.0,4.0,2.0
373,3,4,2,2
374,2,3,2,1
375,3,3,4,2
376,5,4,5,4
377,2,3,2,1
378,6,4,3,2
379,3,2,1,1
380,3,5,4,3
381,1,4,2,1
382,3,4,3,3
383,3,4,3,3
384,2,4,3,2
385,4,3,4,2
386,2,3,2,2
387,1,2,1,1
388,2,3,4,2
389,2,3,3,3
390,1,2,1,1
391,5,3,4,3
392,3,4,2,2
393,5,4,3,3
394,3,3,2,1
395,4,3,1,1
396,6,5,4,4
397,5,3,1,2
398,2,4,2,3
399,3,2,3,3
400,2,3,4,1
401,2,4,2,2
402,6,4,5,5
403,2,3,2,1
404,3,2,3,2
405,2,3,1,1
406,1,1,2,1
407,4.0,4.0,3.0,2.0
408,3,2,2,2
409,6,4,2,3
410,3,4,3,2
411,2,3,2,2
412,4,2,3,3
413,4,3,4,3
414,1,3,1,1
415,1,3,2,1
416,3,5,4,3
417,2,2,3,1
418,5,3,2,3
419,4,3,2,2
420,5,4,3,3
421,4,2,3,3
422,2,3,2,2
423,3,2,1,1
424,5.0,3.0,1.0,1.0
425,4,4,3,2
426,2,2,3,2
427,1.0,2.5,1.0,1.0
428,6,4,3,3
429,2,1,1,1
430,3,4,3,2
431,2,4,2,2
432,2,3,2,1
433,4,2,1,2
434,3,2,3,2
435,2,3,2,2
436,9,6,3,5
437,4,2,3,3
438,5,4,3,3
439,4,4,1,1
440,3,4,2,3
441,2,2,2,1
442,3,4,2,2
443,2,3,4,3
444,3,4,2,2
445,2,3,2,1
446,5.5,3.0,2.0,2.0
447,3,4,3,2
448,6,3,4,2
449,3,2,1,1
450,4,5,3,2
451,3,4,3,3
452,2,3,2,1
453,3,5,4,3
454,3,4,3,2
455,5,4,3,3
456,4,5,6,3
457,5,3,2,2
458,3,2,3,2
459,4,3,3,2
460,3,2,1,1
461,4,3,2,2
462,6,4,5,4
463,2.0,3.0,2.0,2.0
464,4,4,2,2
465,5,3,2,3
466,3.0,5.0,4.0,3.0
467,1.0,1.0,1.0,1.0
468,4,4,3,2
469,6,3,4,4
470,2,3,2,1
471,6,6,6.5,5
472,3,3,2,2
473,4,3,2,2
474,4,5,3,2
475,4,4,3,2
476,4,3,2,2
477,5,5,4,4
478,4,3,2,3
479,3,3,4,4
480,5,5,4,4
481,4,3,2,2
482,3,2,2,2
483,5,5,4,4
484,2,4,3,2
485,2,4,3,2
486,4,2,3,2
487,2,2,1,1
488,6,3,2,3
489,3,4,3,3
490,3,3,2,1
491,1,2,1,1
492,3,4,2,2
493,4,3,2,2
494,4,2,3,2
495,2,2,3,3
496,4,3,2,1
497,2,4,3,2
498,3.0,3.0,2.0,2.0
499,2,4,3,3
500,3,4,2,1
501,4.0,3.0,4.0,3.0
502,2,3,4,3
503,4,3,2,3
504,4,4,3,2
505,4,4,3,3
506,3,4,3,2
507,4,4,3,2
508,4,3,3,2
509,6,3,2,2
510,2.0,5.0,3.0,2.0
511,1.0,3.0,1.0,1.0
512,3,4,2,3
513,1,3,1,1
514,1,3,2,1
515,6,4,2,3
516,5.0,4.0,3.0,2.0
517,1,2,1,1
518,5,4,4,4
519,3,4,2,3
520,4,4,3,3
521,4,4,3,2
522,4,3,2,3
523,2,3,4,3
524,2,4,3,2
525,3,5,3,2
526,3,3,3,3
527,5,4,2,3
528,4,3,4,2
529,5,3,2,2
530,5,3,2,2
531,2,4,2,2
532,7,4,3,3
533,2,2,2,2
534,4,3,1,1
535,3,3,2,2
536,2,1,2,1
537,4,3,4,4
538,4,4,3,2
539,2,4,3,3
540,4,2,3,2
541,4,3,2,2
542,2,3,2,2
543,3,2,1,1
544,1,1,2,1
545,4,3,2,2
546,2,3,1,1
547,3.0,4.0,3.0,2.0
548,2,2,3,1
549,3,4,2,2
550,2,3,2,2
551,2,3,2,2
552,2,6,3,3
553,2,3,2,1
554,4,4,3,3
555,3,3,2,1
556,2,3,4,3
557,2,4,3,2
558,3.0,4.0,2.0,3.0
559,2,3,2,1
560,3,3,2,2
561,2,3,2,1
562,7,5,6,5
563,7,3,4,4
564,3,4,3,2
565,3,6,6,4
566,5,6,5,5
567,6,4,5,4
568,4,3,2,3
569,2,4,2,1
570,2,3,2,2
571,5,3,1,1
572,6,4,4,3
573,3,4,3,2
574,3,2,1,1
575,5,3,1,2
576,4,2,3,2
577,4,4,3,3
578,3,2,1,1
579,7,5,3,2
580,3,4,3,3
581,4.0,2.0,1.0,1.0
582,3,3,1,1
583,2,3,3,2
584,2,4,3,3
585,4.0,3.0,2.0,2.0
586,2,3,4,3
587,3,4,2,2
588,6,5,4,5
589,3,3,2,2
590,4.0,4.0,3.0,2.0
591,3,4,3,2
592,3,4,3,2
593,6,4,3,3
594,5,4,2,3
595,2,4,3,2
596,2,2,3,2
597,2,3,2,2
598,6,3,5,4
599,3,4,2,2
600,1,2,1,1
601,4,4,2,2
602,2,4,2,1
603,2,3,2,1
604,3,2,1,1
605,4,3,5,3
606,4,4,3,2
607,3.0,4.0,2.0,2.0
608,8,2,2,2
609,3.0,4.0,1.0,1.0
610,2,3,5,2
611,2,2,3,1
612,3,2,1,1
613,2,3,2,1
614,3,3,4,3
615,1,3,2,1
616,2,4,3,2
617,5,3,2,3
618,1,3,2,1
619,2,3,1,1
620,2,2,1,1
621,4,5,4,3
622,6.0,2.0,1.0,1.0
623,3,2,3,2
624,5,2,3,2
625,3,4,2,2
626,2,3,2,2
627,6,3,3,2
628,2.0,4.0,3.0,3.0
629,4.0,3.0,2.0,2.0
630,3,4,3,2
631,2,3,2,1
632,3,4,2,2
633,4,4,3,3
634,5,2,1,2
635,3,3,4,2
636,3,3,2,2
637,4,3,2,2
638,6.0,3.0,2.0,2.0
639,2,3,2,1
640,2,3,2,2
641,4,5,2,3
642,3,2,1,1
643,4,3,2,3
644,3,3,4,2
645,2,3,2,1
646,4,3,3,2
647,4,3,3,2
648,5,6,4,3
649,1,3,2,1
650,5,4,3,2
651,3.0,4.0,2.0,2.0
652,5,3,2,3
653,2,3,4,2
654,2,3,4,3
655,4,3,3,2
656,3,4,5,4
657,5,4,3,3
658,4,3,2,2
659,2.0,3.0,2.0,2.0
660,3,2,1,1
661,4,4,3,3
662,1,2,1,1
663,5,5,6,4
664,4,3,2,1
665,2,2,3,1
666,4,4,4,3
667,1,3,2,1
668,2,3,4,2
669,6,4,6,6
670,7.0,6.0,6.0,6.0
671,3,4,2,2
672,4,4,3,4
673,2,3,2,2
674,2,4,3,2
675,4,3,2,2
676,2,3,2,2
677,6,3,4,4
678,2,4,6,3
679,3,2,1,1
680,4,3,2,2
681,3,3,2,2
682,5,2,2,2
683,5,3,2,2
684,4,3,2,2
685,3,3,3,3
686,1,3,2,1
687,3,4,3,3
688,5,5,6,6
689,4,5,3,2
690,2,4,2,2
691,2,3,2,1
692,5.0,3.0,4.0,2.0
693,3,2,2,2
694,4,5,3,3
695,6,4,3,4
696,5,4,5,4
697,6,5,4,4
698,2,3,2,2
699,2.0,4.0,2.0,2.0
700,7,4,3,3
701,4,6.5,4.5,5.5
702,4,4,3,3
703,4,4,3,2
704,3,3,4,3
705,4,2,3,1
706,2,2,2,1
707,4,6,5,3
708,4,4,6,5
709,5,3,2,2
710,2,3,2,2
711,2,3,4,3
712,6,4,3,4
713,3,5,4,3
714,3.0,3.0,2.0,2.0
715,2.0,4.0,3.0,2.0
716,2,2,3,1
717,3,4,3,2
718,4,4,3,3
719,2,3,2,1
720,3,3,2,2
721,1,3,2,1
722,2,4,4,3
723,4,3,2,2
724,6,4,5,3
725,2,4,2,3
726,1,4,2,1
727,5,6,3,3
728,3.0,3.0,2.0,2.0
729,3.0,4.0,2.0,2.0
730,4.0,5.0,4.0,3.0
731,4,3,4,3
732,3,4,5,3
733,3,5,4,2
734,2,3,4,2
735,4,3,4,3
736,3.0,3.0,2.0,2.0
737,5,4,5,3
738,4,5,3,3
739,4,3,2,2
740,1,2,1,1
741,7,4,6,5
742,4,3,1,2
743,2.0,3.0,2.0,2.0
744,3.0,3.0,2.0,1.0
745,1,3,1,1
746,4,3,5,3
747,4,3,2,2
748,2.0,3.0,2.0,2.0
749,1,3,2,1
750,3,2,1,1
751,4,4,4,3
752,3,4,7,5
753,7,5,2,3
754,3,5,4,4
755,4,2,3,2
756,4,2,1,1
757,2,3,1,1
758,2,4,2,2
759,4,4,3,3
760,2,4,3,2
761,4,5,4,3
762,3,5,4,3
763,3,3,2,1
764,4,2,3,3
765,2,2,2,1
766,2,3,2,1
767,3,2,2,2
768,3,3,2,2
769,3,2,3,2
770,2,3,2,1
771,3,4,3,3
772,5,4,3,2
773,4,2,4,3
774,3,4,2,2
775,3,2,3,2
776,2,3,2,1
777,1,2,1,1
778,4,2,1,2
779,3,6,6,4
780,5,4,2,3
781,3,3,2,2
782,4,3,2,3
783,3,3,3,2
784,3,4,3,3
785,3,3,2,2
786,2,2,1,1
787,1.0,2.0,1.0,1.0
788,5,3,4,3
789,3,4,3,2
790,1,2,3,2
791,3,4,4,3
792,3,4,3,2
793,3,1,1,1
794,3,3,5,4
795,4,3,2,2
796,4,3,2,2
797,1,3,2,1
798,5,4,3,2
799,2,3,2,2
800,2,3,4,3
801,2,4,3,2
802,3,4,3,2
803,1.0,1.0,1.0,1.0
804,4.0,2.0,1.0,1.0
805,3,3,2,1
806,3,3,2,2
807,4,3,2,3
808,1,2,1,1
809,5,3,4,4
810,4,3,2,2
811,3,4,2,2
812,6,4,3,4
813,3,3,2,2
814,3,3,2,2
815,3,3,2,2
816,2,2,1,1
817,1,2,1,1
818,2,3,2,1
819,7,4,3,3
820,4,4,3,3
821,3,2,1,1
822,4,3,1,2
823,4,5,3,2
824,5,4,3,3
825,4,4,3,2
826,2,3,2,1
827,2,3,2,2
828,4,3,2,2
829,1,3,2,1
830,3,4,2,2
831,2,3,2,1
832,2,2,3,2
833,4,2,1,2
834,6,3,4,4
835,2,3,4,2
836,2,4,2,1
837,3,2,2,1
838,4,3,1,2
839,4.0,5.0,3.0,3.0
840,3,4,3,3
841,3,3,1,1
842,3,3,2,2
843,3,3,2,2
844,2,4,2,2
845,1,3,2,1
846,4,4,3,3
847,5.0,3.0,2.0,2.0
848,6,4,2,3
849,8.0,6.5,7.0,7.0
850,4,4,3,3
851,4,2,1,1
852,1.0,2.0,1.5,1.0
853,1,3,2,1
854,1.0,2.0,2.0,1.0
855,3,3,2,2
856,3,2,3,2
857,2,5,3,1
858,3,2,1,1
859,2,4,2,2
860,2,3,2,2
861,5,2,1,1
862,4,4,6,5
863,2,4,3,2
864,3.0,4.0,3.0,3.0
865,7,6,5,4
866,3,7,4,2
867,2,5,3,2
868,4,4,3,3
869,2.0,3.0,2.0,1.0
870,5.0,4.0,3.0,3.0
871,5,3,2,1
872,2.0,3.0,2.0,1.0
873,7,3,2,2
874,4.0,4.0,3.0,3.0
875,1.0,3.0,2.0,2.0
876,4,2,3,3
877,4,3,2,3
878,4,3,2,2
879,5,4,3,2
880,4,4,3,3
881,2,3,2,2
882,4,4,3,2
883,4.0,5.0,3.0,3.0
884,2,3,4,3
885,6,7,8,7
886,4,4,3,3
887,6,4,3,2
888,3.0,2.0,1.0,1.0
889,4,4,3,2
890,3,4,3,3
891,3,4,4,2
892,2,3,1,2
893,3.0,4.0,3.0,2.0
894,6,4,3,5
895,3,3,4,2
896,3,3,2,2
897,4,4,5,4
898,4,4,2,3
899,2,2,3,1
900,4,4,3,2
901,2,2,3,3
902,5,4,3,3
903,4,3,2,1
904,3,4,3,2
905,2,4,3,2
906,2,3,1,1
907,6,7,5,4
908,4,3,2,1
909,3,4,2,3
910,2,3,2,2
911,6,3,1,1
912,4,2,1,2
913,4,2,3,3
914,2,3,3,1
915,3.0,3.0,2.0,1.0
916,3,3,2,2
917,3,4,2,2
918,2,4,3,2
919,6,4,3,4
920,3,4,2,2
921,4,2,3,2
922,2,2,3,2
923,6,5,4,3
924,3,4,3,2
925,1,4,3,1
926,2,3,2,1
927,5,6,4,3
928,2,4,2,2
929,6,5,4,4
930,2.0,2.0,1.0,1.0
931,4,5,3,2
932,4,5,4,4
933,4,4,5,3
934,3,4,3,2
935,4,3,2,3
936,3,2,3,2
937,3,3,4,3
938,1,3,2,1
939,1,2,1,1
940,5.0,4.0,3.5,4.0
941,2,3,4,2
942,3.0,4.0,2.0,1.0
943,4.0,4.0,3.0,3.0
944,5,3,2,2
945,4,3,4,3
946,4,3,4,3
947,2,2,3,1
948,2,3,2,1
949,2.0,5.0,3.0,3.0
950,4,2,3,2
951,3,4,2,2
952,3,3,2,1
953,3,2,2,2
954,3,4,2,1
955,5,3,4,2
956,3,3,4,3
957,6,4,3,4
958,1.0,2.0,1.0,1.0
959,3,4,5,4
960,5.0,4.0,4.0,2.0
961,2,2,1,1
962,3,3,1,1
963,2,4,3,3
964,2.0,2.0,1.0,1.0
965,6,4,5,4
966,2,2,3,1
967,2,3,2,1
968,2,4,3,3
969,2.0,2.0,2.0,1.0
970,3,4,3,3
971,4,3,5,4
972,5,4,2,3
973,3,4,3,3
974,3,4,4,3
975,5,4,3,3
976,5,3,4,3
977,3,2,1,1
978,6,5,4,3
979,3,4,2,2
980,5,4,3,3
981,6,4,5,3
982,3,1,1,1
983,6,3,2,2
984,3,3,2,2
985,2,4,3,2
986,6,4,3,2
987,2,3,3,2
988,4,2,1,1
989,2,3,2,1
990,3,4,3,3
991,3,3,2,2
992,3,4,3,3
993,2,4,3,3
994,2,4,3,2
995,1,3,2,1
996,4,3,2,1
997,4,3,2,2
998,5,2,3,4
999,2,2,3,2
1000,3,5,4,3
1001,2,3,2,1
1002,2,4,3,2
1003,4,4,3,2
1004,7.0,5.0,6.0,4.0
1005,3,4,3,2
1006,2,4,3,3
1007,7,5,4,4
1008,2,4,2,2
1009,5,4,3,3
1010,1,4,2,1
1011,4,5,3,2
1012,6,5,4,3
1013,4,3,2,2
1014,5,3,2,3
1015,3,3,2,2
1016,2,4,3,3
1017,2,4,3,1
1018,4,2,1,1
1019,4.0,4.0,3.0,3.0
1020,1,3,2,1
1021,3,5,2,2
1022,2,3,2,1
1023,2,2,1,1
